"row ID","row m/z","row retention time","row ion mobility","row ion mobility unit","row CCS","correlation group ID","annotation network number","best ion","auto MS2 verify","identified by n=","partners","neutral M mass","t0_Ec_1.mzML Peak area","t0_Ec_2.mzML Peak area","t0_Ec_3.mzML Peak area","t0_Ec_C.mzML Peak area","t1_Ec_1.mzML Peak area","t1_Ec_2.mzML Peak area","t1_Ec_3.mzML Peak area","t1_Ec_C.mzML Peak area","t2_Ec_1.mzML Peak area","t2_Ec_2.mzML Peak area","t2_Ec_3.mzML Peak area","t2_Ec_C.mzML Peak area","t3_Ec_1.mzML Peak area","t3_Ec_2.mzML Peak area","t3_Ec_3.mzML Peak area","t3_Ec_C.mzML Peak area","t4_Ec_1.mzML Peak area","t4_Ec_2.mzML Peak area","t4_Ec_3.mzML Peak area","t4_Ec_C.mzML Peak area","t5_Ec_1.mzML Peak area","t5_Ec_2.mzML Peak area","t5_Ec_3.mzML Peak area","t5_Ec_C.mzML Peak area","t6_Ec_1.mzML Peak area","t6_Ec_2.mzML Peak area","t6_Ec_3.mzML Peak area","t6_Ec_C.mzML Peak area","t7_Ec_1.mzML Peak area","t7_Ec_2.mzML Peak area","t7_Ec_3.mzML Peak area","t7_Ec_C.mzML Peak area","t8_Ec_1.mzML Peak area","t8_Ec_2.mzML Peak area","t8_Ec_3.mzML Peak area","t8_Ec_C.mzML Peak area","t9_Ec_1.mzML Peak area","t9_Ec_2.mzML Peak area","t9_Ec_3.mzML Peak area","t9_Ec_C.mzML Peak area"
28,267.0352439,0.25146562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
29,445.1197217,0.292531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
31,284.0489913,0.29575086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
32,281.0508783,0.31610283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
36,239.0947368,0.346609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
37,161.0821152,0.35335436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
38,227.0220292,0.35016438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
39,302.0587127,0.3588882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
41,267.0352439,0.3645138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
46,161.0821118,0.4929305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,392669.28,362487.62,203661.9,55083.426,175581.4,151123.77,208314.27,108940.3,242861.95,193745.95,213366.11,137608.72,32979.613,141311.5,174461.86,158100.19,52730.074,39465.688,196780.8,214705.55,62038.555,119928.01,113873.16,122701.266,33030.727,204761.06,594356.5,39712.312,32324.035,223499.73,89610.62,41313.86,32727.5,33898.23,28167.264,34610.203,64596.24,28115.443,190424.86,27950.645
51,284.0489888,0.42960015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
52,281.0508736,0.4345666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
53,355.0695633,0.4336198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
55,267.0352442,0.42923832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
59,161.0821123,0.5019496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,662816.94,608143,493026.03,415745.53,173251.86,150041.39,125821.305,54111.914,126028.87,191259.44,176101.08,136633.36,295504.22,103480.805,173472.62,119988.81,248450.83,269773.72,124819.13,60157.727,121636.52,118742.15,213494.1,165471.17,72725.83,1331088.2,246502.27,235057.9,165346.61,273017.94,87080.71,207330.75,300017.7,107943.875,107563.12,92954.33,63749.793,28115.443,89184.76,155719.67
61,179.0926506,0.5030221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
64,245.0954124,0.52070516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105098.74,142389.19,63810.387,3766,23827.398,63696.78,76873,3766,117078.42,60493.59,92136.16,3766,20048.074,34443.28,55971.418,61229.266,57881.23,98329.836,62141.04,31539.266,23371.764,49130.547,56877.996,31332.186,86572.7,48227.555,36895.926,73141.85,64034.043,38520.805,48804.12,45772.766,35276.875,45498.383,46890.605,46498.23,24871.02,36117.336,35860.074,31211.477
68,182.0290282,0.5240172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
72,181.097113,0.521332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75002.09,103089.67,49561.344,3766,16952.715,46975.82,58887.414,3766,83179.66,46208.46,67149.46,3766,16139.823,25807.072,40117.45,43597.742,43626.12,72381.734,47373.645,25023.504,17744.14,39957.836,43046.98,28384.6,65669.13,33569.805,30222.6,57192.938,49773.805,31313.932,38381.293,34898.31,29850.8,37332.293,39566.18,36490.19,20862.38,31549.182,29398.756,27539.812
75,157.0971637,0.5201967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
76,158.96134,0.5208432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
80,166.1029345,0.53251517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
81,160.075676,0.5218795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,304328.34,412781.25,183770.88,3766,151759.14,178118.66,196100.77,3766,476177.03,343029.94,342406.94,3766,144607.38,116820.19,280436,329247.16,245774.98,495482.03,355598.12,247149.9,164709.86,251285.4,257045.97,197983.47,474401.5,341570,258450.8,488413.75,733189.25,383483,449601.6,462201.34,435275.94,507759.53,505073.88,490937.5,177482.83,239300.45,275424.5,314942.34
86,169.0971058,0.52534324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,741372.4,888572.06,540843.4,3766,318398.78,563904.4,620459.44,3766,849212.2,686544.8,790937.25,3766,453367.34,387611.62,674889.5,702895.6,628391.44,900353.94,716681.6,507097.62,450944.72,654444.94,720186.44,533841.94,915693.6,727423.94,644932.75,900098.7,953751.1,771301.94,852338.94,822500.8,826362.56,908421.5,917014.3,888778.94,684815.56,826194.44,903869.4,755401.25
89,299.0614359,0.466213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
93,318.1844343,0.52788377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139332.52,195599.3,76569.79,3766,24406.703,63646.945,81481.336,3766,137294.88,67755.55,98435.42,3766,22599.83,38482.867,60260.656,62674.03,53159.79,102201.516,62973.17,29426.156,22869.258,43684.74,53243.246,29669.941,83234.76,56174.816,42949.285,70540.53,71221.9,38619.9,46362.133,50802.438,34109.47,44656.016,42720.086,43765.18,19969.846,31170.654,29521.16,29133.348
97,166.086256,0.52966285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
98,228.1207957,0.5337635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
99,167.0815257,0.54872835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68183.79,76041.71,108962.734,3766,113158.53,106432.586,106535.8,3766,88190.96,104471.09,95015.805,3766,69146.62,52552.71,104584.12,108893.43,106560.25,99633.77,113869.586,124382.29,121048.99,117108.5,120595.6,117806.375,108326.74,109904.01,115312.11,115910.59,97605.984,111298.31,192491.86,106981.33,116073.05,107625.4,116335.39,83799.79,113820.336,120410.23,139616.2,108005.98
101,176.0930388,0.53081757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
102,235.1075619,0.5556984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45398.305,47235.312,69600.01,3766,75312.12,67533.5,69328.27,3766,64348.902,67748.7,50504.51,3766,43595.598,30724.904,66721.125,71100.9,67988.28,34274.004,75165.516,82114.67,79922.42,74637.88,89873.055,76780.25,70336.89,68813.72,74638.94,75299.445,36247.67,69175.12,70077.81,67846.69,71292.055,70980.83,81237.31,66796.95,68788.91,75565.164,97969.61,69885.56
103,205.009999,0.53891814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29645.828,32466.02,26540.87,3766,21793.42,28581.582,30231.668,3766,35132.266,31431.715,34058.72,3766,16087.632,13560.283,32612.098,32057.918,30773.588,37715.19,34299.605,28545.992,29249.477,33035.277,36717.246,29228.777,38821.926,34416.27,33282.418,39622.547,36264.24,33902.906,33166.72,33695.44,32968.754,33883.83,34743.766,34888.754,13366.86,28527.346,32178.635,27490.084
107,173.0709568,0.54765636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37491.71,39854.465,34696.87,3766,28045.16,35058.418,38762.273,3766,43397.855,37392.883,41021.05,3766,18256.572,15312.807,37205.28,38242.33,35526.34,42606.51,39226.273,34785.473,34635.082,37513.97,41201.996,33865.938,44025.535,43612.066,42807.996,46179.285,47845.523,46209.113,46155.684,47661.277,47488.117,48895.543,48828.074,51335.574,50332.53,58120.33,60323.18,50743.777
108,265.1181876,0.54901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38909.95,43592.375,36047.516,3766,27799.945,35622.61,37423.438,3766,43572.37,37696.33,43100.996,3766,24377.162,19118.611,38745.832,39692.95,37245.36,45978.61,41149.758,36330.945,34766.145,40035.664,45578.45,36781.242,46815.457,40128.3,40045.066,47788.777,44970.727,40880.574,43340.35,42478.95,42545.965,44918.258,48722.32,46904.387,39289.805,45600.2,49127.85,39950.44
109,189.1133849,0.549488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,19649.006,19719.355,14713.93,4463.528,26799.092,36825.57,39494.234,3904.179,42648.203,59063.562,72315.95,3766
110,179.0794146,0.5433194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
111,221.093384,0.5519922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51908.34,56287.984,49207.348,3766,42494.617,51519.938,53209.805,3766,58688.11,53746.887,58539.25,3766,28661.645,22048.303,53551.2,56821.17,53464.75,59885.16,57703.832,52152.21,47129.305,56073.375,63777.426,51607.61,64185,47317.734,53657.582,64671.785,58108.61,54305.28,56213.56,55484.977,55787.734,59107.246,60872.97,59633.465,51323.01,58340.723,64151.645,46403.723
112,181.1334941,0.6135922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,7629.5195,12018.03,3999.7642,4147.674,3766,10469.418,6762.706,12698.697,5755.0806,4968.128,8359.445,4557.816,26542.742,32023.447,36100.035,3766,38098.918,38848.023,51059.594,4813.111,32939.824,41852.207,45938.316,16741.568
113,157.0793905,0.55112875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3972.3682,5928.3716,5346.6416,3766,17310.203,20831.805,19460.79,13474.402,31319.957,37171.4,40198,19324.277
114,252.1263308,0.5586749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,177225.92,3766,3766,3766,3766,3766,3766,3766,3766,3766
115,201.1232948,0.564631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1187343.2,1239862.9,1241334.9,3766,1204454.4,1247175.5,1289556.8,3766,1277143.5,1333212.1,1349799,3766,1084009.2,840163.4,1295361,1352471.5,1312561.1,1369756.5,1396534.8,1389531.2,1390732.9,1428290.2,1459700.5,1404398.8,1448292.8,1289095.8,1368719,1504409.5,1301357.6,1382891.1,1397664.5,1322311.5,1333908.6,1393400.6,1372670.8,1389400,1354345.5,1383068,1472957.5,1318967
116,310.1142451,0.56717813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
118,208.1333122,0.57563466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
121,261.1231619,0.5908772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
122,183.1127524,0.5971823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
123,292.120735,0.6694898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
124,188.1281651,0.60682803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
125,206.1386517,0.60655636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
129,179.1178227,0.608828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
130,152.0706067,0.63133794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28019.207,27858.328,26246.088,3766,23347.857,24180.414,27201.977,3766,28350.807,26242.264,29170.986,3766,6288.4233,3766,22766.373,26533.49,20545.1,27310.127,21197.72,23638.291,7101.061,26623.072,27967.887,15316.217,29009.184,26359.766,29237.701,30289.13,41626.47,38841.027,38861.95,31705.816,38058.562,40209.707,42794.727,40652.285,37793.29,37263.81,41439.277,42265.406
135,233.1033317,0.6501215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196373.78,200498.73,198591.31,3766,197735.38,203428.92,213277.4,3766,217633.58,217092.42,216510.95,3766,119772.016,90516.96,201667.69,211255.39,201617.77,212029.03,210234.95,202882.44,204539.34,208312.67,211299.48,200955.9,209887.62,180628.1,192311.27,228598.97,189824.11,192633.03,183585.72,187669.86,187596.64,198810.83,194749.42,199951.86,186139.77,185495.03,193581.38,172163.08
137,245.1283489,0.6855501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
138,242.186331,0.66285706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,24290.08,29650.096,26556.201,10552.715
139,189.1023082,0.6766711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
140,167.0815186,0.6632309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
141,405.2874612,0.7110581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
142,155.0813763,0.6924916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
